alias_city,alias_address,georeferencingString,type
CAMERANA,Comune,"CAMERANA, CN, Piemonte",POINT
NIELLA BELBO,Comune,"NIELLA BELBO, CN, Piemonte",POINT
CASTINO,Comune,"CASTINO, CN, Piemonte",POINT
PEZZOLO VALLE UZZONE - FR. TODOCCO,Comune,"PEZZOLO VALLE UZZONE - FR. TODOCCO, CN, Piemonte",POINT
CORTEMILIA,Comune,"CORTEMILIA, CN, Piemonte",POINT
CRAVANZANA,Comune,"CRAVANZANA, CN, Piemonte",POINT
FEISOGLIO,Comune,"FEISOGLIO, CN, Piemonte",POINT
BONVICINO,Comune,"BONVICINO, CN, Piemonte",POINT
ALBARETTO DELLA TORRE,Comune,"ALBARETTO DELLA TORRE, CN, Piemonte",POINT
ARGUELLO,Comune,"ARGUELLO, CN, Piemonte",POINT
CERRETTO LANGHE,Comune,"CERRETTO LANGHE, CN, Piemonte",POINT
SERRAVALLE LANGHE,Comune,"SERRAVALLE LANGHE, CN, Piemonte",POINT
SOMANO,Comune,"SOMANO, CN, Piemonte",POINT
BORGOMALE,Comune,"BORGOMALE, CN, Piemonte",POINT
BOSIA,Comune,"BOSIA, CN, Piemonte",POINT
BOSSOLASCO,Comune,"BOSSOLASCO, CN, Piemonte",POINT
PERLETTO,Comune,"PERLETTO, CN, Piemonte",POINT
SAN BENEDETTO BELBO,Comune,"SAN BENEDETTO BELBO, CN, Piemonte",POINT
SALICETO,Comune,"SALICETO, CN, Piemonte",POINT
PEZZOLO VALLE UZZONE - CAPOLUOGO,Comune,"PEZZOLO VALLE UZZONE - CAPOLUOGO, CN, Piemonte",POINT
