alias_city,alias_address,georeferencingString,type
Codigoro,Comune,"Codigoro, Ferrara, Emilia Romagna",POINT
Comacchio,Comune,"Comacchio, Ferrara, Emilia Romagna",POINT
Copparo,Comune,"Copparo, Ferrara, Emilia Romagna",POINT
Fiscaglia,Comune,"Fiscaglia, Ferrara, Emilia Romagna",POINT
Goro,Comune,"Goro, Ferrara, Emilia Romagna",POINT
Jolanda di Savoia ,Comune,"Jolanda di Savoia , Ferrara, Emilia Romagna",POINT
Lagosanto ,Comune,"Lagosanto , Ferrara, Emilia Romagna",POINT
Mesola ,Comune,"Mesola , Ferrara, Emilia Romagna",POINT
Ostellato,Comune,"Ostellato, Ferrara, Emilia Romagna",POINT
Riva del Po,Comune,"Riva del Po, Ferrara, Emilia Romagna",POINT
Tresignana,Comune,"Tresignana, Ferrara, Emilia Romagna",POINT
