alias_address,alias_city,georeferencingString,type,urlReport
Pregasina,Riva del Garda,"Pregasina, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/395
Campi,Riva del Garda,"Campi, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/394
Porto San Nicolò,Riva del Garda,"Porto San Nicolò, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/393
Piazza Cavour,Riva del Garda,"Piazza Cavour, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/366
Fangolino,Riva del Garda,"Fangolino, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/392
Via Virgilio,Riva del Garda,"Via Virgilio, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/391
Rione Degasperi,Riva del Garda,"Rione Degasperi, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/363
S. Alessandro,Riva del Garda,"S. Alessandro, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/362
Varone,Riva del Garda,"Varone, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/390
Roma,Riva del Garda,"Roma, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/361
Piazza Catena,Riva del Garda,"Piazza Catena, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/389
Viale Damiano Chiesa,Riva del Garda,"Viale Damiano Chiesa, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/359
Viale dei Tigli,Riva del Garda,"Viale dei Tigli, Riva del Garda, TN, Trentino",POINT,https://www.altogardaservizi.com/download/396
