alias_city,alias_address,georeferencingString,type
Balzola,Comune,"Balzola, AL, Piemonte",POINT
Borgo San Martino,Comune,"Borgo San Martino, AL, Piemonte",POINT
Bozzole,Comune,"Bozzole, AL, Piemonte",POINT
Caresana,Comune,"Caresana, AL, Piemonte",POINT
Casale Monferrato(campo pozzi Terranova),Comune,"Casale Monferrato(campo pozzi Terranova), AL, Piemonte",POINT
Casale Monferrato (campo pozzi Frassineto),Comune,"Casale Monferrato (campo pozzi Frassineto), AL, Piemonte",POINT
Costanzana,Comune,"Costanzana, AL, Piemonte",POINT
Frassineto Po,Comune,"Frassineto Po, AL, Piemonte",POINT
Giarole,Comune,"Giarole, AL, Piemonte",POINT
Morano sul Po,Comune,"Morano sul Po, AL, Piemonte",POINT
Motta De Conti,Comune,"Motta De Conti, AL, Piemonte",POINT
Pertengo,Comune,"Pertengo, AL, Piemonte",POINT
Pezzana,Comune,"Pezzana, AL, Piemonte",POINT
Stroppiana,Comune,"Stroppiana, AL, Piemonte",POINT
Ticineto,Comune,"Ticineto, AL, Piemonte",POINT
Valmacca,Comune,"Valmacca, AL, Piemonte",POINT
Villanova Monferrato,Comune,"Villanova Monferrato, AL, Piemonte",POINT
