alias_city,alias_address,georeferencingString,type
Beura,Comune,"Beura, VB, Piemonte",POINT
Bognanco,Comune,"Bognanco, VB, Piemonte",POINT
Craveggia,Comune,"Craveggia, VB, Piemonte",POINT
Crevoladossola,Comune,"Crevoladossola, VB, Piemonte",POINT
Crodo,Comune,"Crodo, VB, Piemonte",POINT
Domodossola,Comune,"Domodossola, VB, Piemonte",POINT
Malesco,Comune,"Malesco, VB, Piemonte",POINT
Masera,Comune,"Masera, VB, Piemonte",POINT
Montecrestese,Comune,"Montecrestese, VB, Piemonte",POINT
Premia,Comune,"Premia, VB, Piemonte",POINT
Re,Comune,"Re, VB, Piemonte",POINT
S.Maria Maggiore,Comune,"S.Maria Maggiore, VB, Piemonte",POINT
Toceno,Comune,"Toceno, VB, Piemonte",POINT
Trontano,Comune,"Trontano, VB, Piemonte",POINT
Varzo,Comune,"Varzo, VB, Piemonte",POINT
Villette,Comune,"Villette, VB, Piemonte",POINT
